step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.157909702389471,0.8363869545921203,0.7422049812251522,0.15636457679811827,0.848235215493543,0.7549073262485916,0.001
2,0.1003163443698037,0.8965296173287977,0.8236740798719467,0.09322625212743135,0.9100630884755871,0.8441729246975181,0.001
3,0.09136519923565849,0.9058232792923527,0.8382379095400533,0.07623123884676936,0.9261477845395635,0.8706671455187236,0.001
4,0.08606886821648767,0.9108669551149491,0.8461412441345953,0.06897496330940318,0.9307834021226613,0.8787129599296166,0.001
5,0.08256029755237602,0.9149977151424654,0.8524843651440835,0.06959922311310758,0.9319328705588739,0.8803002649319625,0.001
6,0.08014040100838869,0.9167668257028826,0.8552290427107965,0.06494570426836223,0.9363053921097053,0.8873463314093516,0.001
7,0.07886547255780428,0.9180686541142002,0.8573059785750604,0.06230067703389598,0.936062960865017,0.8883877250248801,0.001
8,0.08019502743357612,0.9170879039072222,0.8564156274641713,0.07419097430245605,0.9284161006262203,0.8743727477248795,0.001
9,0.07755791636243943,0.9197317116683529,0.8598949217027233,0.06463973968477545,0.9365898520646695,0.8877287066863206,0.001
10,0.07646472451667632,0.9207130954150231,0.8616760930707378,0.06266659821296286,0.9359046484300952,0.887324567802414,0.001
11,0.07450071376778426,0.9224388267724745,0.8643059865120919,0.0604841818181638,0.9400093954004451,0.893945985509012,0.001
12,0.07317762881998092,0.9244917741706294,0.8670498300944606,0.059607467772123106,0.9394795126662758,0.8926775457259424,0.001
13,0.0712502091642349,0.9260759983331927,0.8692682693081517,0.05969680189164337,0.9406109791910815,0.8947745175537711,0.001
14,0.0729517195253603,0.9237539258695417,0.8663501109807722,0.06011104260286885,0.939196618076808,0.8919672934476011,0.001
15,0.07095726552389321,0.9262414050679053,0.869880189338038,0.06397504576978212,0.936164556922551,0.888540324753154,0.001
16,0.07224020989792,0.9255749020845659,0.8689804105989395,0.06212213617598939,0.9369496947039149,0.8881923741923121,0.001
17,0.07046284676799851,0.9268655440499706,0.8710243692321162,0.05771685836319914,0.9425370338077317,0.8977314091609148,0.001
18,0.06906376887233026,0.927843074164083,0.8720522364301067,0.058911242713768804,0.9425226594516617,0.8980094075440884,0.001
19,0.06916340392443442,0.9280413725683766,0.872446267354873,0.058266832372415325,0.9420320032956357,0.8975026879362955,0.001
20,0.06818307680828918,0.9289536865488175,0.8737477347735436,0.058806130235007185,0.9417876485816971,0.8970508737835342,0.001
21,0.0688602682503481,0.9282975417952384,0.8729879990700753,0.05760985033999303,0.9423949686353078,0.897511717861522,0.001
22,0.06794962106693175,0.9295174566007429,0.8747216035281459,0.056357736366535134,0.9431488582355058,0.8987745113834411,0.001
23,0.06700322858148045,0.9306002523629896,0.8765930494954509,0.0554288269174908,0.9435800999224543,0.8991921709445184,0.001
24,0.06730851038329062,0.9298787876482932,0.8753411399741327,0.05663970893921847,0.9443405831526378,0.9007986224221136,0.001
25,0.06849374447859102,0.9290161925938821,0.874378155316076,0.057807965620519396,0.9428692401169303,0.8984072487987206,0.001
26,0.067608691030933,0.9298114872747852,0.875034827859171,0.057071504032540465,0.9432817820660369,0.8990931979077543,0.001
27,0.06616729771297786,0.9309304938200982,0.8770362979942753,0.0592071327330645,0.9413591630444555,0.8957269428494924,0.001
28,0.06523449217239695,0.9322253667539165,0.8790423725881884,0.05706903826958405,0.9419703479417546,0.8970968352106516,0.001
29,0.06769388805954688,0.9298887839240413,0.8754279483710566,0.0572216897541118,0.9427461947152714,0.8982465842407859,0.001
30,0.064431834545347,0.9329130438066298,0.8800424476785045,0.054494853486528175,0.9442990425817981,0.9005625913005151,0.001
31,0.06408533435915748,0.9330126955624549,0.8800690674012707,0.056707900270314034,0.9425086060207999,0.8979091202903412,0.0005
32,0.06314524371297128,0.9343949460214184,0.8824421061623481,0.053761901861863456,0.9454689995495383,0.9027513478568452,0.0005
33,0.061551632179367925,0.9354203891369605,0.8838884421894627,0.054202692914092375,0.9451095236989553,0.9024223826840491,0.0005
34,0.06050162636224301,0.9364322111491235,0.8854085851100183,0.054645295059698784,0.9453169580943094,0.9025260714475742,0.0005
35,0.06108184990983817,0.9357134190297896,0.8845414990378965,0.05376872248174307,0.9454867335374721,0.9031351628655683,0.0005
36,0.06101952751557673,0.9358704839983294,0.8843053502421225,0.05476323471306089,0.944553923821021,0.9008890330910445,0.0005
37,0.06105807192263103,0.9358953309635962,0.8846879514955706,0.05394081347538326,0.9459051469010031,0.9033039681568831,0.0005
38,0.061481315282083324,0.9349621793916149,0.8831909332544573,0.057485584961529265,0.9430839536551706,0.899155125111163,0.0005
39,0.061477675312949766,0.935358188325359,0.8835277374713651,0.05410099655999514,0.9462778063234455,0.9040769913239394,0.0005
40,0.061781943775713444,0.935339089362852,0.8837149229741865,0.05540511725161842,0.9456381028045913,0.9029107647027798,0.0005
41,0.05993446124897849,0.9372674986239402,0.8867978674750174,0.05389534743751832,0.945613631826199,0.9032526890079894,0.0005
42,0.06012825271294963,0.9367908200910015,0.8860782932850623,0.05479588677842698,0.9448097753905489,0.9016365517756182,0.0005
43,0.05937668167415165,0.9373927169269131,0.8866969991114831,0.0543999507792755,0.9455708632926028,0.9029314992075671,0.0005
44,0.06043069350022462,0.9365915728192176,0.8857991767506446,0.055783447844837,0.9450669336223793,0.9023876281793484,0.0005
45,0.05963651214035288,0.9370261579751968,0.8865179578142781,0.05524899416831796,0.9452984263440092,0.9024932295857313,0.0005
46,0.059080336693554156,0.9379561803033275,0.8879321289639319,0.05317985173872488,0.9466960969085465,0.9044385407261268,0.00025
47,0.057604459414799365,0.9392368759839765,0.8895837429069704,0.05373031220690695,0.9468051523505571,0.9050712141091238,0.00025
48,0.05690286131275277,0.9396577414966398,0.8904503920385914,0.052669836539113356,0.9482415817573875,0.9069005971302291,0.00025
49,0.05740633450688854,0.9391758369822656,0.8898458625039747,0.05325402574847915,0.9470505098739784,0.9053318040099686,0.00025
50,0.05779515423120991,0.9385805995233597,0.8889547572020562,0.05318979772473286,0.9468305596929348,0.9050945352294488,0.00025
51,0.05654378779112331,0.9402657833791548,0.891152688091801,0.05385995344323907,0.9462878700501904,0.904048233926891,0.00025
52,0.057380545764200146,0.9389891398529853,0.8892942849666842,0.05383655495436011,0.9469882954142527,0.9052931350505281,0.00025
53,0.056461551527102145,0.9400908836433964,0.8911893348540029,0.05314369994529826,0.9471363369933146,0.9055929810344102,0.00025
54,0.05675162780549257,0.9402769587693676,0.8913300022963555,0.054304822758881155,0.9464438122784544,0.9042866343628623,0.00025
55,0.05525774112151515,0.9415226732530901,0.8931888418812906,0.05361861537420702,0.9474073305815279,0.9060702416711225,0.000125
56,0.055808274796412836,0.941067335586394,0.8927558136563147,0.05348305407904103,0.9476073338481005,0.9063541132532907,0.000125
57,0.05538580843037175,0.9415784867540482,0.8933368777075121,0.05344269758912023,0.9476133466004849,0.906198756780453,0.000125
58,0.055160025284895976,0.9415447154352742,0.8932708775804888,0.05387316077962488,0.9470230578900335,0.9054422113828793,0.000125
